C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,bins
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1099999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.97
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9299999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9099999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8300000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05246589716684151,0.0,0.0,-0.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.77
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73
0.0,0.0,0.040916530278232374,0.0,0.0,0.0,0.0,0.0,0.054945054945054896,0.08841732979664006,-0.71
0.0,0.0,0.040916530278232596,0.0,0.0,0.0,0.0,0.0,0.1098901098901104,0.08841732979664056,-0.69
0.045871559633027484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054945054945054896,0.04420866489832003,-0.67
0.045871559633027484,0.0,0.0,0.0,0.04975124378109449,0.0,0.0,0.05246589716684151,0.0,0.08841732979664006,-0.65
0.0,0.0,0.1227495908346971,0.056753688989784286,0.04975124378109449,0.0,0.0,0.0,0.0,0.17683465959328012,-0.63
0.09174311926605497,0.04562043795620434,0.1636661211129295,0.0,0.0,0.05197505197505193,0.0,0.05246589716684151,0.0,0.1326259946949601,-0.61
0.045871559633027484,0.0,0.08183306055646475,0.0,0.04975124378109449,0.10395010395010386,0.043821209465381206,0.15739769150052452,0.054945054945054896,0.17683465959328012,-0.59
0.0,0.04562043795620434,0.1227495908346971,0.056753688989784286,0.0,0.0,0.0,0.05246589716684151,0.0,0.4420866489832003,-0.57
0.09174311926605548,0.18248175182481838,0.16366612111293039,0.0,0.04975124378109476,0.10395010395010444,0.04382120946538145,0.0,0.1098901098901104,0.35366931918656225,-0.5499999999999999
