C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,x
8.025684336805625e-105,4.50630459950825e-128,1.1202822640124952e-86,1.1961326355252368e-114,2.0570426477044628e-109,4.5887475978001056e-125,6.351428786472152e-137,6.055696498516571e-66,1.19121623432115e-86,5.206312371922435e-91,-1.198
4.540079167204639e-104,3.0740910273413034e-127,5.389498431909156e-86,7.346443057279385e-114,1.2097268142773375e-108,3.0599296083635194e-124,4.63086356210559e-136,2.3693818960061194e-65,5.736189896583286e-86,2.612237694630464e-90,-1.196
2.5519103057250004e-103,2.083691488984671e-126,2.576260380879372e-85,4.483275308552281e-113,7.068899931760593e-108,2.0274456323407486e-123,3.354849587443696e-135,9.211419178746475e-65,2.744586688367908e-85,1.3023217502306007e-89,-1.194
1.4252400485431649e-102,1.4033649568421046e-125,1.2236343920173996e-84,2.7185305398646095e-112,4.1042790021534275e-107,1.334773308708763e-122,2.414930501693969e-134,3.558267069711352e-64,1.304820888958924e-84,6.451297056937803e-89,-1.192
7.909176440058962e-102,9.391357060426093e-125,5.774762272925507e-84,1.63792321704142e-111,2.3677859161766636e-106,8.731449074435964e-122,1.72725610134717e-133,1.3657495064137255e-63,6.1637549539077635e-84,3.1754036764671987e-88,-1.19
4.361091006014722e-101,6.2446283049107194e-124,2.7079276792738735e-83,9.805582025371496e-111,1.3572770495673891e-105,5.675258561508346e-121,1.2275221835328641e-132,5.208636840315216e-63,2.8930793418311264e-83,1.5530091586032289e-87,-1.188
2.3893494840070323e-100,4.125773186191094e-123,1.2617128545154012e-82,5.832754942356728e-110,7.730633662294066e-105,3.665265972890535e-120,8.668071371129277e-132,1.9737748905691494e-62,1.349260603053879e-82,7.546963922638206e-87,-1.186
1.3007230965657252e-99,2.708473683000587e-122,5.841232721675125e-82,3.447423192565519e-109,4.375041699337047e-104,2.3520462260196326e-119,6.081855858980142e-131,7.431760006048871e-62,6.252473372251313e-82,3.6441288743397375e-86,-1.184
7.035754493721781e-99,1.766706498475113e-121,2.6870082905859347e-81,2.024584851488218e-108,2.4601966073065537e-103,1.4997080620462334e-118,4.2400432142312365e-130,2.7803933979047126e-61,2.878911920361097e-81,1.7483903084294088e-85,-1.182
3.781439496051207e-98,1.1450506779720495e-120,1.2281573703157807e-80,1.1814024912216774e-107,1.3746050944066137e-102,9.501411220062267e-118,2.937142098061537e-129,1.033573428960897e-60,1.3171202320442408e-80,8.335012902589921e-85,-1.18
2.0194090297567692e-97,7.374040614395501e-120,5.577756443837547e-80,6.849837944434388e-107,7.631441831410773e-102,5.981223330466531e-117,2.0216229005306372e-128,3.817657284381197e-60,5.987464890886278e-80,3.9481841308881614e-84,-1.178
1.071549146659584e-96,4.71853148865119e-119,2.5170137601306958e-79,3.946237569407573e-106,4.209744738014914e-101,3.741213027560732e-116,1.3825977771739975e-127,1.4011126582462117e-59,2.704463065382622e-79,1.8582826421465186e-83,-1.176
5.649637243216618e-96,3.000051467109292e-118,1.1285794767138404e-78,2.2589502801493144e-105,2.307413570844333e-100,2.3251735427152022e-115,9.395330792535834e-127,5.109397486557646e-59,1.213779073299129e-78,8.690592868154089e-83,-1.174
2.9597137058570185e-95,1.8952699127223268e-117,5.028045768828364e-78,1.284844686149751e-104,1.2566537677151406e-99,1.4358822360271627e-114,6.343790202305318e-126,1.8513427882329128e-58,5.412759768809116e-78,4.038409136450673e-82,-1.172
1.5406341523204314e-94,1.189690371044287e-116,2.2258034520871067e-77,7.261312182443985e-104,6.800273001803647e-99,8.810545291954831e-114,4.256043553376398e-125,6.665373686066742e-58,2.398382107141351e-77,1.8646379400362332e-81,-1.17
7.968379692185159e-94,7.42022954128327e-116,9.790275574585389e-77,4.07755755446998e-103,3.6564326126324786e-98,5.371644573067521e-113,2.8371600153645624e-124,2.3844195934931217e-57,1.0559382323780303e-76,8.554645571839093e-81,-1.168
4.0950688299700455e-93,4.598553559708044e-115,4.2788152656503075e-76,2.2751268002238016e-102,1.9534815550631568e-97,3.2541102664640475e-112,1.8792394161717746e-123,8.475422880321732e-57,4.619331926708245e-76,3.899714761879785e-80,-1.166
2.0910917256713475e-92,2.8316897798766386e-114,1.8581153547164467e-75,1.2613384308356688e-101,1.0370067214566875e-96,1.95874443947238e-111,1.2368040840784726e-122,2.99337127249107e-56,2.0078919642387767e-75,1.7663916162564776e-79,-1.164
1.0609762409907202e-91,1.7325692928399163e-113,8.017561929507108e-75,6.948293664471177e-101,5.469836475772929e-96,1.1715040748104626e-110,8.087982886753574e-122,1.0504619153663182e-55,8.672055119268987e-75,7.94995173028611e-79,-1.162
5.348831741854908e-91,1.0533096615552643e-112,3.4374191306712222e-74,3.8031654388327545e-100,2.8667355364321997e-95,6.961941118422341e-110,5.255330725254623e-121,3.6628619614923224e-55,3.721553218855091e-74,3.555210723584692e-78,-1.16
2.6793714343253657e-90,6.362708661039106e-112,1.4643442006538267e-73,2.068391696037621e-99,1.492868080581465e-94,4.110904648946083e-109,3.392972936713795e-120,1.2690575231912137e-54,1.586890479435889e-73,1.5797544052655976e-77,-1.158
1.3336062545219466e-89,3.8189900204527834e-111,6.198325354839545e-73,1.117740194449806e-98,7.724595557711881e-94,2.411931540173652e-108,2.1766131796592188e-119,4.3688041813784736e-54,6.723419228149053e-73,6.974887214723204e-77,-1.156
6.595428927660462e-89,2.2775898793910358e-110,2.606910262812274e-72,6.001633445958416e-98,3.971463568534072e-93,1.40608982405186e-107,1.3874029986094456e-118,1.4943914209363539e-53,2.8304399516809873e-72,3.0599068378168895e-76,-1.154
3.2410012044746046e-88,1.3496558469328592e-109,1.0894274405427632e-71,3.20197974823828e-97,2.0288312761485093e-92,8.14482334407027e-107,8.787078746149239e-118,5.079098876675674e-53,1.183963233660519e-71,1.3338366102189362e-75,-1.152
1.5824721409263129e-87,7.94677783765244e-109,4.523671438623388e-71,1.697415680552182e-96,1.0298211214132992e-91,4.687818499416603e-106,5.529768156657406e-117,1.715258122582212e-52,4.920882593947252e-71,5.777241092144831e-75,-1.15
7.677391602493892e-87,4.649214875618394e-108,1.8663982269628112e-70,8.94084064057892e-96,5.193954894405211e-91,2.6808988186019033e-105,3.457720171293554e-116,5.7556293299579595e-52,2.032208705935566e-70,2.486347305006126e-74,-1.148
3.70094013287933e-86,2.7026429908448202e-107,7.651350342614291e-70,4.679387535165446e-95,2.6028855236903185e-90,1.523388151830184e-104,2.148291840826421e-115,1.9190074677653394e-51,8.339002971291374e-70,1.063228358589713e-73,-1.146
1.772683408250052e-85,1.5610551924736874e-106,3.1166811791352746e-69,2.4334374578618297e-94,1.2960819952308712e-89,8.601243431381044e-104,1.3262250596258345e-114,6.357421815299514e-51,3.400012131699022e-69,4.5176728951721537e-73,-1.144
8.436669967533235e-85,8.959181831332607e-106,1.2614417022071353e-68,1.2573954345997711e-93,6.412544655321185e-89,4.825390004790592e-103,8.135077525056486e-114,2.0926948533465072e-50,1.3774229727553566e-68,1.907332897765783e-72,-1.142
3.9896216213705543e-84,5.10903595381174e-105,5.072972473318967e-68,6.455711067040965e-93,3.15245461324896e-88,2.6898255643058785e-102,4.958230099628738e-113,6.844650858399295e-50,5.544657116664596e-68,8.001321441275942e-72,-1.14
1.874619511418402e-83,2.894876776857615e-104,2.027114792476936e-67,3.2933417951044086e-92,1.5398832611641672e-87,1.489828674602235e-101,3.0027015921966883e-112,2.224422139591737e-49,2.2176989165633157e-67,3.335189017884701e-71,-1.138
8.75216185531729e-83,1.6298277987770918e-103,8.048495313297682e-67,1.6693601496928355e-91,7.4738997629359565e-87,8.199154240399208e-101,1.806833717423863e-111,7.182963064806524e-49,8.813552416682601e-67,1.3813467712668907e-70,-1.136
4.0601150461749925e-82,9.117460174218315e-103,3.1752034938921e-66,8.407827513288168e-91,3.604352478448239e-86,4.4835529109321074e-100,1.080300839986336e-110,2.3046796809987078e-48,3.480325926753123e-66,5.6847127862168946e-70,-1.134
1.8714668513553058e-81,5.067882583375563e-102,1.24465488429555e-65,4.207635013892034e-90,1.72714085166477e-85,2.436105306192305e-99,6.417882423688715e-110,7.347473491433667e-48,1.3655555123399528e-65,2.324544680968164e-69,-1.132
8.571301005243342e-81,2.798979572250885e-101,4.847824032599374e-65,2.0922464644396123e-89,8.223349969042497e-85,1.3151955528164576e-98,3.7884304142977347e-109,2.327480216364347e-47,5.323770440698383e-65,9.444758227065348e-69,-1.13
3.900606787472786e-80,1.5360078272788797e-100,1.876140085380635e-64,1.0337324278452885e-88,3.890364606108472e-84,7.05513163314914e-98,2.2220170544749774e-108,7.325790314799421e-47,2.0622903023318e-64,3.8130050695928275e-68,-1.1280000000000001
1.7637556747347382e-79,8.375440236763728e-100,7.214466043841756e-64,5.074858680891855e-88,1.8287416360946972e-83,3.7604552608178685e-97,1.2949588755709162e-107,2.2910970422395008e-46,7.937811781791458e-64,1.529563553203663e-67,-1.126
7.924383992909e-79,4.537768903139661e-99,2.7565358209049986e-63,2.4754848976460034e-87,8.541515151244713e-83,1.991573076950829e-96,7.498684485221565e-107,7.119557483563774e-46,3.035794100721981e-63,6.096650402436293e-67,-1.124
3.53763845182799e-78,2.4428546123118447e-98,1.0465105311549922e-62,1.1998228390067063e-86,3.96403968481009e-82,1.0480272686312357e-95,4.3145419892764215e-106,2.1982801200633236e-45,1.1536241718158757e-62,2.4145638543663597e-66,-1.1219999999999999
1.569214220833072e-77,1.306692449733879e-97,3.947699452987573e-62,5.778225458176252e-86,1.8279385293763628e-81,5.479859635455455e-95,2.466634687450617e-105,6.744248736977321e-45,4.355889967357746e-62,9.50188458219701e-66,-1.12
6.916269229898657e-77,6.944958552283936e-97,1.4796707055298021e-61,2.7649823125646315e-85,8.375402662871531e-81,2.846995636680845e-94,1.4011850162524196e-104,2.0559125680870926e-44,1.6342179380912734e-61,3.715390577337105e-65,-1.1179999999999999
3.0288824783879803e-76,3.667637884020694e-96,5.5106976786162636e-61,1.3146518197473597e-84,3.813030856213971e-80,1.46968643036899e-93,7.908728188882355e-104,6.227248818799959e-44,6.092051488502019e-61,1.4435202630128145e-64,-1.116
1.317995242609345e-75,1.9245258868102246e-95,2.03924127138789e-60,6.210830136389849e-84,1.7248663871132277e-79,7.538467776527613e-93,4.4354565611984755e-103,1.8741671083610127e-43,2.256512152968431e-60,5.572691410051988e-64,-1.1139999999999999
5.698573592966672e-75,1.0034172888235777e-94,7.498098722529998e-60,2.9154733214029285e-83,7.752845220888719e-79,3.8420410152373555e-92,2.4716702269340936e-102,5.604552217849867e-43,8.304859860748966e-60,2.1376215614533687e-63,-1.112
2.4481577028315163e-74,5.198282977763243e-94,2.739392184424255e-59,1.359843742181594e-82,3.4624800813482386e-78,1.9456352523178524e-91,1.3685580936695517e-101,1.6653059865897697e-42,3.037018658987793e-59,8.147425192845596e-63,-1.1099999999999999
1.0450415109303927e-73,2.6758315525260243e-93,9.944381722002938e-59,6.302160476251618e-82,1.5365049687341762e-77,9.789970245558231e-91,7.529332286214628e-101,4.916631757798406e-42,1.1035274292660362e-58,3.0855578382110526e-62,-1.108
4.4324988124138756e-73,1.3686050523111792e-92,3.586921540216578e-58,2.9020869729308253e-81,6.77487317450752e-77,4.8946521482256105e-90,4.115951093817207e-100,1.4423206987242156e-41,3.984183435997096e-58,1.1611030558196535e-61,-1.1059999999999999
1.8680335050763435e-72,6.955334523101172e-92,1.28554263251711e-57,1.3278588273156638e-80,2.968170781427153e-76,2.431547790040993e-89,2.2356533406684144e-99,4.204133569037244e-41,1.4292757982706666e-57,4.341418252040322e-61,-1.104
7.822429459744824e-72,3.512193393552151e-91,4.5779559205622603e-57,6.0368988841923995e-80,1.2921029465562853e-75,1.2002295145433379e-88,1.2065886491228456e-98,1.2176197678842582e-40,5.094637357556705e-57,1.612932852272003e-60,-1.102
3.2547648971346925e-71,1.76221679495509e-90,1.6198591224053478e-56,2.7270708023618644e-79,5.588893880054098e-75,5.886624185975188e-88,6.470450560603599e-98,3.5040265665445293e-40,1.8043925849424393e-56,5.954218463257724e-60,-1.1
1.3456080580496392e-70,8.785384341235259e-90,5.695126850153793e-56,1.2240507965158941e-78,2.4020117381934696e-74,2.8687244474719547e-87,3.447706806864869e-97,1.0019443613581696e-39,6.349935500877833e-56,2.1840223439687753e-59,-1.098
5.5276245500515095e-70,4.351938111362004e-89,1.989528084220257e-55,5.459124305611135e-78,1.025757976098733e-73,1.3890947642968455e-86,1.825352078650067e-96,2.8466910516266005e-39,2.2203841428558913e-55,7.960003184808666e-59,-1.096
2.2562099576168402e-69,2.1420281353849455e-88,6.905851939847622e-55,2.419173638036346e-77,4.35246407563324e-73,6.683368849433969e-86,9.60248148499736e-96,8.036326669996984e-39,7.714493963215351e-55,2.882659030512513e-58,-1.094
9.150430318668219e-69,1.0475822870252774e-87,2.3817982318266094e-54,1.065201120241671e-76,1.8350419763600698e-72,3.1950635575011934e-85,5.019273112707847e-95,2.254215041952729e-38,2.663221534258829e-54,1.0372828509983151e-57,-1.092
3.6874366874853603e-68,5.090631230263455e-87,8.16231199052318e-54,4.6603303504778967e-76,7.687361889850709e-72,1.5176935529305843e-84,2.6068659042297276e-94,6.282805568948782e-38,9.135402111637883e-54,3.708728366719316e-57,-1.09
1.4764838130647395e-67,2.4579647128503755e-86,2.7793416156674433e-53,2.0259200700432362e-75,3.1998466450745563e-71,7.163234896593456e-84,1.3452935858514905e-93,1.739932546470828e-37,3.1136412191469623e-53,1.317579346529966e-56,-1.088
5.87426978222798e-67,1.1792344695438796e-85,9.403535893861162e-53,8.75081345735203e-75,1.3234316567762411e-70,3.359346583264484e-83,6.898202935379167e-93,4.7877528023711985e-37,1.0544597163818116e-52,4.651065695039122e-56,-1.086
2.3222030086349089e-66,5.621409227166638e-85,3.1612654157188054e-52,3.7557360297786364e-74,5.438691038526494e-70,1.5653842063239256e-82,3.514595728417874e-92,1.3090358534384158e-36,3.548231476913151e-52,1.6313687200254264e-55,-1.084
9.121527957399198e-66,2.6626295921509743e-84,1.0559691998248224e-51,1.6016300564642632e-73,2.220791429090743e-69,7.247823342567009e-82,1.7792431500082529e-91,3.556246690242406e-36,1.1863543373899935e-51,5.685593011162404e-55,-1.082
3.560050321249526e-65,1.253132004698273e-83,3.504790470472507e-51,6.786562848888196e-73,9.01035023735027e-69,3.3343775028135773e-81,8.949849729212522e-91,9.59959106250799e-36,3.9412812582918476e-51,1.9688988546552806e-54,-1.08
1.3805935230621506e-64,5.860078108510172e-83,1.1558284635582754e-50,2.8573145701459994e-72,3.6324202476075543e-68,1.5242017326930526e-80,4.473183349902477e-90,2.574744275306679e-35,1.3010109813428727e-50,6.774777923645275e-54,-1.078
5.319817053410723e-64,2.722892544991527e-82,3.7874353553211726e-50,1.195327060707549e-71,1.4550268864260299e-67,6.922941330304918e-80,2.2214583304795763e-89,6.861767285349802e-35,4.267219919423314e-50,2.3162784166918355e-53,-1.076
2.036801723132422e-63,1.2571239961344086e-81,1.2331547798111908e-49,4.968622052065811e-71,5.7911720069563434e-67,3.124347759072559e-79,1.0961756690911396e-88,1.8170144627026859e-34,1.3906877177733022e-49,7.868836411191392e-53,-1.074
7.748578214804919e-63,5.766950784195003e-81,3.989426521076186e-49,2.0521338725673867e-70,2.2902475416355742e-66,1.401033759703829e-78,5.374556841681751e-88,4.780807956370977e-34,4.5033400656422164e-49,2.656160737896142e-52,-1.072
2.9289807727362966e-62,2.6286628606024172e-80,1.2824010610606024e-48,8.421625609483211e-70,8.999510795666101e-66,6.242497102730333e-78,2.6183378142950196e-87,1.2498696669794481e-33,1.4489733573279023e-48,8.908863191719989e-52,-1.07
1.1001002770880129e-61,1.1905401565479828e-79,4.095979605001932e-48,3.4340505799826206e-69,3.5137907421142217e-65,2.7636854690088497e-77,1.267445257598821e-86,3.246748685586429e-33,4.632405724624484e-48,2.9690283767044175e-51,-1.068
4.105530694162286e-61,5.3576424050577025e-79,1.299906816624087e-47,1.3913550219059759e-68,1.3631806149179876e-64,1.2157363364679431e-76,6.096116512443911e-86,8.380175884476474e-33,1.4715442071731832e-47,9.831743736746925e-51,-1.066
1.5223959912551707e-60,2.3956530042705225e-78,4.0990873772163773e-47,5.60131178627217e-68,5.254742321967965e-64,5.3138671928483243e-76,2.913384614272229e-85,2.149206322342545e-32,4.644731061665417e-47,3.2349749111285223e-50,-1.064
5.609282109281775e-60,1.0643748858214911e-77,1.2843478117783483e-46,2.2405882310043946e-67,2.0126579002616065e-63,2.3078230760799113e-75,1.3834481952790605e-84,5.476758620193856e-32,1.4566941244114172e-46,1.057634162576584e-49,-1.062
2.053564181058714e-59,4.698787874812252e-77,3.998514212061717e-46,8.905429475654477e-67,7.659651593128209e-63,9.958979625174225e-75,6.527524270100835e-84,1.3867226425394495e-31,4.539381698938675e-46,3.4357711895661615e-49,-1.06
7.470172845768943e-59,2.0610929385461004e-76,1.2369016186913571e-45,3.5169662627954365e-66,2.89646699796003e-62,4.270194855679489e-74,3.0602337795056887e-83,3.488800440169348e-31,1.4055476578444852e-45,1.10901451195665e-48,-1.058
2.700066239965489e-58,8.98317430665227e-76,3.8018256121951775e-45,1.3800729740245433e-65,1.0883000991144e-61,1.8192863420249877e-73,1.425545978916518e-82,8.72133894977361e-31,4.3242917805977064e-45,3.556923136032594e-48,-1.056
9.697049472887478e-58,3.890295522110776e-75,1.1611003263165558e-44,5.380918514236543e-65,4.063022882863255e-61,7.701493306988287e-73,6.598243968787028e-82,2.166260684153708e-30,1.3219193118585815e-44,1.133537810075538e-47,-1.054
3.460399622260164e-57,1.6740016249427546e-74,3.5234476495969054e-44,2.084641095153215e-64,1.507198256978148e-60,3.239435541122571e-72,3.034562067884118e-81,5.346367219310127e-30,4.0152764221662465e-44,3.5893998902857635e-47,-1.052
1.2269712336627861e-56,7.157307437838146e-74,1.0623959855620736e-43,8.024660906424583e-64,5.555357519228717e-60,1.3538927429057096e-71,1.386705364101244e-80,1.3110744928339275e-29,1.2118433841097682e-43,1.1293589755235492e-46,-1.05
4.322788774827492e-56,3.040632863090966e-73,3.1829186632175102e-43,3.069323043049677e-63,2.0345771338219244e-59,5.622373533234214e-71,6.296408282145451e-80,3.1945998462877754e-29,3.634110194762535e-43,3.530746389926308e-46,-1.048
1.5132657008006776e-55,1.2835086885463274e-72,9.475130126193018e-43,1.166484642331012e-62,7.403836513178852e-59,2.319934097445486e-70,2.840678490477643e-79,7.734390227104251e-29,1.0828548300505429e-42,1.0967948911304598e-45,-1.046
5.263661255574866e-55,5.38336908437862e-72,2.8026273021363656e-42,4.404899113718878e-62,2.6770716621477085e-58,9.511568026300822e-70,1.2734203898426509e-78,1.8606136760633984e-28,3.205995707482796e-42,3.385390095530253e-45,-1.044
1.8192076688162542e-54,2.243520357450556e-71,8.236942560093497e-42,1.6527738094921874e-61,9.617975996361697e-58,3.8747983524697035e-69,5.672075870461468e-78,4.447406771704631e-28,9.431400554732271e-42,1.0382846938652322e-44,-1.042
6.247384828433154e-54,9.29022834035359e-71,2.405399690620994e-41,6.161853855079482e-61,3.433427618265329e-57,1.568435315480393e-68,2.5103413434856024e-77,1.0562774601173341e-27,2.756830091427013e-41,3.1640886565381647e-44,-1.04
2.1317482126488367e-53,3.822462888219263e-70,6.979575171007207e-41,2.2826003544722506e-60,1.2178466871851163e-56,6.308188127139861e-68,1.103936368736876e-76,2.49269812659996e-27,8.006899386017968e-41,9.580878288644763e-44,-1.038
7.227619145964969e-53,1.5627182428911013e-69,2.0122931690185834e-40,8.40173312595991e-60,4.292179316056554e-56,2.5209438884331746e-67,4.8236503431585564e-76,5.844964495149773e-27,2.3106773366576663e-40,2.8826141785723214e-43,-1.036
2.4348732069525823e-52,6.348024611104632e-69,5.764664587141676e-40,3.072758295314856e-59,1.503085243353284e-55,1.0010188143001999e-66,2.0942480143310607e-75,1.361803929008903e-26,6.625746321952319e-40,8.61771761441369e-43,-1.034
8.15040552584515e-52,2.5622236582478017e-68,1.6408820372794674e-39,1.1166277908623947e-58,5.230098646670367e-55,3.949497287287691e-66,9.034433403198094e-75,3.152592250027671e-26,1.887777791658341e-39,2.5598974914014104e-42,-1.032
2.7108400821813584e-51,1.0275808149235021e-67,4.640889270964587e-39,4.0318928360913615e-58,1.808242469039145e-54,1.5483242593801763e-65,3.872525129927863e-74,7.25172856084613e-26,5.344259200507055e-39,7.555748547901162e-42,-1.03
8.958812185065268e-51,4.09482600838179e-67,1.3042041604754588e-38,1.4465386557600958e-57,6.211892983473999e-54,6.031183415826313e-65,1.6493319950934574e-73,1.6574322730642971e-25,1.503296791906568e-38,2.2159351945345223e-41,-1.028
2.9418387127167297e-50,1.621344990656326e-66,3.6417529959036996e-38,5.156697103806911e-57,2.120370634543892e-53,2.3343376413714793e-64,6.97979131899998e-73,3.7640081728954016e-25,4.20167568774403e-38,6.457453441037205e-41,-1.026
9.598629309951593e-50,6.37875512757783e-66,1.0104060134086902e-37,1.8265590476656478e-56,7.191510389769218e-53,8.977291549827311e-64,2.934927030697325e-72,8.493483350060168e-25,1.166865793912431e-37,1.8697787269752617e-40,-1.024
3.11187080710883e-49,2.493543461009356e-65,2.7854918409988945e-37,6.428598839964957e-56,2.4235331193373247e-52,3.430421662379847e-63,1.2262321350943531e-71,1.9043274916056914e-24,3.219881423806704e-37,5.37952439879592e-40,-1.022
1.0024342995759276e-48,9.685420241585797e-65,7.630067725013966e-37,2.248119797607458e-55,8.115183069029098e-52,1.3024774191071258e-62,5.090595551375707e-71,4.242461890016749e-24,8.828347944475503e-37,1.5378795430977624e-39,-1.02
