P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,x
8.446086192851813e-73,1.8177198205485935e-94,8.570298987281143e-13,9.903679090780906e-80,4.362907574204363e-14,2.609251876927321e-19,1.5611282662824979e-124,1.7872872244488985e-68,8.763954357290917e-76,4.222647152507899e-23,-1.18
3.5611346797058686e-72,9.416243283468042e-94,1.4839169884881426e-12,4.47639234034237e-79,7.902461772545275e-14,5.247478772882122e-19,1.0390644923268218e-123,7.185509300429089e-68,3.8082634616066883e-75,9.232495161284874e-23,-1.178
1.4919071784950353e-71,4.846730970397369e-93,2.55295850407393e-12,2.0103896685746512e-78,1.4223805278873356e-13,1.0485904727983099e-18,6.87174343390332e-123,2.8703926837005355e-67,1.644275546607253e-74,2.005736601518154e-22,-1.176
6.2103449551876615e-71,2.4787953472133568e-92,4.364137447214443e-12,8.971247926564433e-78,2.544115418600833e-13,2.0820044698391597e-18,4.5155627683532494e-122,1.1393197568444859e-66,7.054121747869678e-74,4.32961446754765e-22,-1.174
2.568680917444843e-70,1.259658861136241e-91,7.412651792352337e-12,3.977827897996236e-77,4.521953114491091e-13,4.107503504023903e-18,2.9483385182123456e-121,4.493352604123775e-66,3.006990472559625e-73,9.28635042193488e-22,-1.172
1.0556625382441365e-69,6.360419130943917e-91,1.251034523519437e-11,1.7525064904365463e-76,7.987008604770318e-13,8.051833113094683e-18,1.9127725221108854e-120,1.7608239270680934e-65,1.2736259798230144e-72,1.9790712270668777e-21,-1.17
4.310826822378569e-69,3.1910899015630815e-90,2.0979034872987784e-11,7.671738590771753e-76,1.4018828510395507e-12,1.5683107773030116e-17,1.2330191386178998e-119,6.856175462559057e-65,5.360095542013509e-72,4.190813141776968e-21,-1.168
1.7491077251476128e-68,1.5907900259177974e-89,3.495604022518278e-11,3.336940573506363e-75,2.4451718732792e-12,3.035218995166766e-17,7.897630780695957e-119,2.652579931552018e-64,2.2414235217920085e-71,8.817707426775314e-21,-1.166
7.051687446261925e-68,7.879654845483763e-89,5.7873463145661315e-11,1.4421939329011005e-74,4.238164249292926e-12,5.836714919040276e-17,5.026253057736425e-118,1.019707471948372e-63,9.31313933989313e-71,1.8434594444547375e-20,-1.164
2.8248153650835157e-67,3.8781271572781206e-88,9.520444540789773e-11,6.1932608366787696e-74,7.299910383784491e-12,1.1152378000980524e-16,3.1784280855186886e-117,3.8949626008393e-63,3.844935570158221e-70,3.829411224834886e-20,-1.162
1.1243657148977259e-66,1.8965199278351266e-87,1.5561644829608446e-10,2.6426253306568075e-73,1.2494798515115822e-11,2.1173226013864734e-16,1.9971052080907755e-116,1.478262476398023e-62,1.577258339119117e-69,7.904072943756607e-20,-1.16
4.446779931636506e-66,9.215380916878301e-87,2.5274017729810973e-10,1.1203980162860395e-72,2.1252675113681875e-11,3.9941754969306067e-16,1.246837955004566e-115,5.574685708577151e-62,6.42891090279113e-69,1.6210275220717245e-19,-1.158
1.7474477347308535e-65,4.449279491214915e-86,4.0786232252584167e-10,4.719865079132462e-72,3.5922884535353097e-11,7.486654903481724e-16,7.734630999940363e-115,2.0888622350242155e-61,2.6037111377587066e-68,3.303317762537611e-19,-1.156
6.823124070227754e-65,2.134453015624976e-85,6.53993460060864e-10,1.9756379160373918e-71,6.033963694894409e-11,1.394341180575338e-15,4.7674890033814004e-114,7.777137688661444e-61,1.0477773936362254e-67,6.688532353599966e-19,-1.154
2.647176246426156e-64,1.0174287987103333e-84,1.0419664564967119e-09,8.21685524330777e-71,1.007183761576963e-10,2.5803039467255715e-15,2.9198484848292865e-113,2.877069542647264e-60,4.189537549852821e-67,1.3456491054036034e-18,-1.152
1.0204763899137614e-63,4.818834029884953e-84,1.6495086079343214e-09,3.395661846607095e-70,1.670667071359826e-10,4.744530680483172e-15,1.7768527839069822e-112,1.0575514772028858e-59,1.6645007736091343e-66,2.6900065480331657e-18,-1.15
3.908801178023438e-63,2.267777416982237e-83,2.5946330732198985e-09,1.394324148997417e-69,2.7538921714052715e-10,8.66834602941738e-15,1.0743928106585347e-111,3.862542413300007e-59,6.570868526033032e-66,5.343125347113288e-18,-1.148
1.4876635256495066e-62,1.0604236355819481e-82,4.0552518244657615e-09,5.688838158776703e-69,4.511078866449278e-10,1.5736198140910346e-14,6.454985267591939e-111,1.4017339698031621e-58,2.577403582737977e-65,1.0545274846047547e-17,-1.146
5.625826897608971e-62,4.926958308037716e-82,6.297674678941753e-09,2.306236937123747e-68,7.343295919723618e-10,2.8384679580430098e-14,3.8534340671857387e-110,5.0545038368171326e-58,1.0045301220434532e-64,2.067954407307681e-17,-1.144
2.1139199159341682e-61,2.2745678212889956e-81,9.717692036916236e-09,9.289766194480712e-68,1.1878987247529884e-09,5.087316903948687e-14,2.285709982449455e-109,1.8109733613055692e-57,3.890132544801399e-64,4.0294384933886094e-17,-1.142
7.892438582880831e-61,1.0433725570516966e-80,1.4899323725174435e-08,3.718143603732081e-67,1.909616847720207e-09,9.059708293654406e-14,1.3471465175787812e-108,6.447126575035716e-57,1.4968791704397055e-63,7.801329434748698e-17,-1.14
2.9278876440228513e-60,4.755546622923994e-80,2.2698151811614673e-08,1.4786590649445705e-66,3.0506484042615207e-09,1.6030987523583026e-13,7.889128969785957e-108,2.2805570377012546e-56,5.72308262687264e-63,1.5007668209801228e-16,-1.138
1.0792402108939701e-59,2.1536840577845302e-79,3.435855982731717e-08,5.842926943688189e-66,4.843037601926614e-09,2.81855809845101e-13,4.590540193202372e-107,8.015604715329075e-56,2.1741736383502053e-62,2.8686551078572675e-16,-1.136
3.952777280468777e-59,9.691345086572407e-79,5.167731278086729e-08,2.294105455243965e-65,7.640538385394003e-09,4.923958406264498e-13,2.654110792627244e-106,2.7993181607862944e-55,8.206904657811535e-62,5.448337091809735e-16,-1.134
1.4384907929451844e-58,4.333179084157032e-78,7.722988856491646e-08,8.949871799236117e-65,1.197874161906112e-08,8.547172065461175e-13,1.5247365710330721e-105,9.713793171317188e-55,3.078119797792305e-61,1.0281822869945276e-15,-1.132
5.2015448043828875e-58,1.9250842178191417e-77,1.1468098367180967e-07,3.4692912954617587e-64,1.8662947353325503e-08,1.4741824092454038e-12,8.703443240152729e-105,3.3492384502085706e-54,1.1471299827267162e-60,1.9279545036757535e-15,-1.13
1.8688657984091223e-57,8.497933815315085e-77,1.6920684430804588e-07,1.336242356039787e-63,2.8895602462983545e-08,2.526391960590232e-12,4.936372236590842e-104,1.1474239634165852e-53,4.24776754824816e-60,3.592063121801897e-15,-1.1280000000000001
6.671821276763065e-57,3.72732678651359e-76,2.4806469428052084e-07,5.113876275493807e-63,4.4459693527120125e-08,4.30200577789518e-12,2.7819237106071054e-103,3.9059115054553277e-53,1.5628952425745303e-59,6.649847008146113e-15,-1.126
2.3666345866443485e-56,1.6244341529994532e-75,3.613536992615844e-07,1.9446243276671052e-62,6.798061222889307e-08,7.27883756604393e-12,1.557768961749934e-102,1.3211177432307117e-52,5.71373412199997e-59,1.2232067330268332e-14,-1.124
8.341391892654165e-56,7.034403373819643e-75,5.230227351897761e-07,7.347536089341722e-62,1.0329713882061695e-07,1.2236969464104334e-11,8.667251363990043e-102,4.4399829202042925e-52,2.0755406082200862e-58,2.235674573213506e-14,-1.1219999999999999
2.9212340847364402e-55,3.0267248363016125e-74,7.521927538237525e-07,2.75846994563724e-61,1.5598285205896272e-07,2.0441208523102304e-11,4.791596653283689e-101,1.4826605355679405e-51,7.491409016600431e-58,4.0601102561499614e-14,-1.12
1.016517145832413e-54,1.2940144551312874e-73,1.074875684460414e-06,1.0289998240821545e-60,2.340731005039213e-07,3.3928147072132944e-11,2.6320832968110556e-100,4.9195209845303973e-51,2.6866857363180597e-57,7.326348656405484e-14,-1.1179999999999999
3.5146620556761255e-54,5.497001182539588e-73,1.5261873409708826e-06,3.8140190666587164e-60,3.4907038289838813e-07,5.595445095661385e-11,1.4366121023929345e-99,1.6219018706440476e-50,9.57395396451667e-57,1.3135840097758079e-13,-1.116
1.2074605556343174e-53,2.320240741323026e-72,2.1531682674304793e-06,1.4046590912914162e-59,5.173233898652206e-07,9.169171693543125e-11,7.791120612357179e-99,5.313087973917433e-50,3.3899002964522446e-56,2.3401766354481586e-13,-1.1139999999999999
4.121761397112377e-53,9.731074144308618e-72,3.018343131951408e-06,5.140194165236892e-59,7.619029191595695e-07,1.4929545717889717e-10,4.1983713508594167e-98,1.729378764444822e-49,1.1926243176068466e-55,4.1424754200327063e-13,-1.112
1.3980195923599062e-52,4.055169671802372e-71,4.2041651147010974e-06,1.8689971087005992e-58,1.1151322725680054e-06,2.415372740674065e-10,2.2479274328454774e-97,5.593117294510897e-49,4.1690928013850925e-55,7.286043446886759e-13,-1.1099999999999999
4.71155411336242e-52,1.679104765000939e-70,5.818505295588787e-06,6.75240138186714e-58,1.6219714069407471e-06,3.882780790307154e-10,1.1959258138059059e-96,1.7973739005684313e-48,1.448106999937524e-54,1.2733391392721444e-12,-1.108
1.5777406837326563e-51,6.908234532118149e-70,8.001356465773649e-06,2.423976392997936e-57,2.344503738337131e-06,6.201872019046648e-10,6.321886701176361e-96,5.739098021188815e-48,4.9978239574994113e-54,2.2111435353532347e-12,-1.1059999999999999
5.249616531857348e-51,2.8240791718902715e-69,1.0932923752526769e-05,8.646075769118809e-57,3.367832518242232e-06,9.842921548000207e-10,3.320547458728118e-95,1.8208307121077299e-47,1.7138882084491417e-53,3.815138405824694e-12,-1.104
1.735561678634474e-50,1.1471155781917535e-68,1.4843268208776538e-05,3.0642923968273317e-56,4.8077601259392825e-06,1.5521962596043555e-09,1.73297856305239e-94,5.740057245698919e-47,5.8398983255658e-53,6.540699182504932e-12,-1.102
5.701288778600273e-50,4.629754929992844e-68,2.0023650942625778e-05,1.0791004792451358e-55,6.820697850161191e-06,2.4321520731567016e-09,8.986637106810413e-94,1.797974852158038e-46,1.9771943691992002e-52,1.1141882360432674e-11,-1.1
1.8609150209361554e-49,1.856647013289803e-67,2.6839691040007818e-05,3.775844343716981e-55,9.6163343258687e-06,3.786660901027057e-09,4.630434380295328e-93,5.595923241894408e-46,6.6514258465073784e-52,1.8858774914319928e-11,-1.098
6.035323573087038e-49,7.39811706392072e-67,3.574639695885291e-05,1.312764412458213e-54,1.347367521673347e-05,5.85792522247015e-09,2.3706463905812504e-92,1.73053601310702e-45,2.223317461776159e-51,3.171676619808481e-11,-1.096
1.9448902172539657e-48,2.929095760147409e-66,4.730505489132432e-05,4.535028521320304e-54,1.8761151101912712e-05,9.004364937634793e-09,1.2059584329887907e-91,5.3175343369821054e-45,7.38430401093618e-51,5.30010947050217e-11,-1.094
6.227448433104918e-48,1.1523023739465727e-65,6.22018559272827e-05,1.5566599996240185e-53,2.5961569331768495e-05,1.3752585785222992e-08,6.095627422315086e-91,1.6235315957865282e-44,2.4369075317825714e-50,8.800377339869328e-11,-1.092
1.9812793062130092e-47,4.5042227349572825e-65,8.126801471412866e-05,5.309187022922982e-53,3.5702751514220975e-05,2.0870738550962144e-08,3.061434730926402e-90,4.925291964307128e-44,7.990794360333689e-50,1.4519052102002354e-10,-1.09
6.263279351505099e-47,1.7494187438952536e-64,0.00010550097504701493,1.7992139011148366e-52,4.879474193653968e-05,3.1471224683224064e-08,1.5277493612026207e-89,1.4846497901185073e-43,2.6035283513531568e-49,2.380102983152394e-10,-1.088
1.967335263028974e-46,6.751312453329177e-64,0.00013608611363619404,6.0584019961769965e-52,6.627448223060579e-05,4.7153295681497997e-08,7.575298177022584e-89,4.4466902940362094e-43,8.428613753203424e-49,3.8768031434587824e-10,-1.086
6.140100587915477e-46,2.588827751399417e-63,0.00017441814573206728,2.0270006653437778e-51,8.945881064421186e-05,7.01993805672315e-08,3.7322254390362794e-88,1.3233373740565067e-42,2.7112621449329658e-48,6.27440090314325e-10,-1.084
1.9041147209010588e-45,9.863671917496466e-63,0.00022212121170140755,6.738608274288252e-51,0.00012000654548649257,1.0384308693398115e-07,1.8270756120721724e-87,3.91313763396176e-42,8.665795156379353e-48,1.0090003001076505e-09,-1.082
5.867204837472657e-45,3.7341743956811587e-62,0.0002810663915695007,2.2259071569430493e-50,0.0001599902357744822,1.5263188758706848e-07,8.887215023227555e-87,1.1497423637046162e-41,2.7521171246429447e-47,1.6122442681919015e-09,-1.08
1.7963456476935993e-44,1.4046595958829879e-61,0.00035338516786752555,7.305743092951652e-50,0.00021197789182383054,2.2291364963316486e-07,4.295318479823773e-86,3.356578637018334e-41,8.684544157632826e-47,2.55971081361794e-09,-1.078
5.464734623899239e-44,5.250106331502278e-61,0.00044147715207405616,2.3825513071370957e-49,0.00027912462963437475,3.234834866185484e-07,2.0627451200534985e-85,9.736749968571385e-41,2.723007272611647e-46,4.038048027161105e-09,-1.076
1.6518429829527469e-43,1.9497800554184e-60,0.0005480102257251289,7.72041494320544e-49,0.00036527366324763693,4.664359756901509e-07,9.842746082077959e-85,2.806416512238645e-40,8.483445451171565e-46,6.329546170473951e-09,-1.074
4.961225464339435e-43,7.194881793444408e-60,0.0006759111454010212,2.4857619670208545e-48,0.00047506545118155885,6.682775729616407e-07,4.666674501222037e-84,8.037318387197786e-40,2.6261376051586087e-45,9.85812179845048e-09,-1.072
1.4805725074724638e-42,2.638045112892868e-59,0.0008283446440203128,7.952413436497178e-48,0.0006140530456101263,9.513649767006431e-07,2.198463470922307e-83,2.2871317079007304e-39,8.077639430576088e-45,1.525584622239844e-08,-1.07
4.3902667926372495e-42,9.61083869587855e-59,0.001008679151692222,2.5278941058988503e-47,0.0007888208140362247,1.3457469929187263e-06,1.0290856281554316e-82,6.466840573530699e-39,2.4687281425134503e-44,2.3458429878254858e-08,-1.068
1.2935185464827665e-41,3.4790516299670346e-58,0.0012204374782610631,7.984345461634114e-47,0.001007102721684927,1.891499743565243e-06,4.786348175436269e-82,1.816829334854033e-38,7.496938294723145e-44,3.584116303429604e-08,-1.066
3.7868222709388246e-41,1.2513562718957442e-57,0.0014672311629533802,2.5057646431368627e-46,0.0012778953104631548,2.6416572040164526e-06,2.211961569443474e-81,5.071741789888585e-38,2.2621245544277155e-43,5.441088159904467e-08,-1.064
1.1015334771915158e-40,4.472203846764427e-57,0.0017526777141671586,7.81379026321518e-46,0.0016115594330246238,3.66585019321182e-06,1.0157138686079767e-80,1.4067637951499297e-37,6.782207102370424e-43,8.207482147099881e-08,-1.062
3.1837649240347726e-40,1.5881178323835944e-56,0.002080300635787603,2.4210498841674052e-45,0.002019903758886352,5.054775912304767e-06,4.634316630521884e-80,3.87709374646061e-37,2.0204475696309446e-42,1.2301402990437794e-07,-1.06
9.143338584211548e-40,5.603564420516435e-56,0.0024534129562474687,7.453602726269908e-45,0.0025162421384208743,6.925625477648411e-06,2.1009733253925527e-79,1.0617261642157677e-36,5.980619561173887e-42,1.8319763413928755e-07,-1.058
2.6090903958972916e-39,1.9645655820157373e-55,0.0028749859215099114,2.2800756684297965e-44,0.003115416176817972,9.428596857588904e-06,9.464025233127344e-79,2.8889489219426473e-36,1.7590041932638852e-41,2.7108506456469597e-07,-1.056
7.397653157067402e-39,6.843672345132898e-55,0.003347505548890979,6.930312117039139e-44,0.0038337739293532796,1.275461315677085e-05,4.2359590779904415e-78,7.810671304002846e-36,5.140551705086796e-41,3.9857663482020993e-07,-1.054
2.084103676971037e-38,2.3688218556454406e-54,0.0038728208178813524,2.0930367003681398e-43,0.004689095580606923,1.7144349035238395e-05,1.8838578863364387e-77,2.0982539318441808e-35,1.492707803086311e-40,5.822890144572196e-07,-1.052
5.833983407749882e-38,8.146969856109139e-54,0.00445198833780954,6.280893192823443e-43,0.005700457409481383,2.2898638827428192e-05,8.324631816888409e-77,5.60078558212042e-35,4.30687379453017e-40,8.452513492209511e-07,-1.05
1.6226751104459952e-37,2.7840711681728434e-53,0.005085119311785526,1.8727788163782078e-42,0.006888026353412118,3.0390296302376314e-05,3.655126793249611e-76,1.485460467525271e-34,1.2347294832000146e-39,1.2191402336380037e-06,-1.048
4.484545917982085e-37,9.45333550313142e-53,0.005771235437407019,5.548455198077595e-42,0.008272779132952556,4.007731588981094e-05,1.5946316310162187e-75,3.914664396466024e-34,3.517255214713773e-39,1.7471973829636643e-06,-1.046
1.2314758257891726e-36,3.189409808359239e-52,0.006508140971395933,1.633346003607355e-41,0.009876142215797096,5.251734699651905e-05,6.912558463646466e-75,1.0250600219754994e-33,9.955392788585434e-39,2.488002385454422e-06,-1.044
3.360112529024546e-36,1.069192970510724e-51,0.007292318465991695,4.777545372107474e-41,0.011719551881943317,6.838323596295161e-05,2.9774040560818422e-74,2.6670147476730876e-33,2.7998543260984883e-38,3.520303679941461e-06,-1.042
9.109662103833426e-36,3.561413326218967e-51,0.008118855598008424,1.3885194304802465e-40,0.013823937246734403,8.847931460054222e-05,1.2742576490633269e-73,6.894820111304156e-33,7.824111989201127e-38,4.9491427686761905e-06,-1.04
2.4539811933867056e-35,1.1787160017617447e-50,0.008981410011582919,4.0097714389614316e-40,0.0162091332010615,0.00011375798191120248,5.4187265841712906e-73,1.7710951999761395e-32,2.172487744556621e-37,6.913537931925851e-06,-1.038
6.568416858922964e-35,3.87629208697825e-50,0.009872218159180605,1.1505560754012862e-39,0.018893234678323916,0.00014533598010823087,2.289590119764955e-72,4.52045718732025e-32,5.99380126487362e-37,9.59602195988402e-06,-1.036
1.7469106779257393e-34,1.2666141201731445e-49,0.0107821527551199,3.280322004662467e-39,0.021891908243170662,0.00018450961305358554,9.612553320424313e-72,1.14642157204229e-31,1.643123260114358e-36,1.3234350477557612e-05,-1.034
4.616376346303999e-34,4.1123746287936984e-49,0.01170083168385401,9.29278051636778e-39,0.025217681458567773,0.00023276800250679027,4.009962365335481e-71,2.88886948854435e-31,4.475698521638736e-36,1.813570928386362e-05,-1.032
1.212138456813503e-33,1.326665795978227e-48,0.012616779094097556,2.6157449627334445e-38,0.028879234531649176,0.00029180333513906,1.6621198908737992e-70,7.233244226808728e-31,1.21136344215896e-35,2.4693745877517026e-05,-1.03
3.162450732000045e-33,4.25256449449726e-48,0.01351763705137913,7.315864124133661e-38,0.03288072205326249,0.00036351693309063707,6.845495861945092e-70,1.799533866552949e-30,3.2577003779067265e-35,3.340872632828203e-05,-1.028
8.19814927658187e-33,1.354443211052034e-47,0.01439042363298171,2.033088947094765e-37,0.03722115492187369,0.0004500198964996753,2.801354000388621e-69,4.448449492641163e-30,8.705043294436358e-35,4.4911067568812556e-05,-1.026
2.1116813816990272e-32,4.28638530975852e-47,0.015221830867095866,5.613938402365788e-37,0.04189387349676139,0.0005536270323621591,1.1390730824833312e-68,1.0926450610920383e-29,2.3112873456336626e-34,5.9988410369151125e-05,-1.024
5.404574092700613e-32,1.3478517608279466e-46,0.01599855359009672,1.5402790990223954e-36,0.046886142427108604,0.0006768428147085754,4.6020962830375236e-68,2.66668314074441e-29,6.097618463504693e-34,7.96162731082174e-05,-1.022
1.3744061019164353e-31,4.211274669951014e-46,0.01670763827127202,4.199056484623001e-36,0.052178895297868885,0.0008223382296059357,1.847482474364417e-67,6.466743772029789e-29,1.5984164599399702e-33,0.00010499215498398124,-1.02
3.4728753002543763e-31,1.3073910910597607e-45,0.01733683927289966,1.1374296012742311e-35,0.05774665316325418,0.0009929175555447333,7.369286977553209e-67,1.558195299022664e-28,4.163351967133638e-33,0.00013757273483542266,-1.018
